input feature,output_feature,tau,p-value
#commas (avg),PBU,-0.08142177442969527,0.03819620521959045
#commas (avg),BD50,-0.0824918042995367,0.03573037287902911
#commas (avg),ABU50,-0.009708903099699972,0.8047857785364778
#comments (avg),PBU,0.05496238696365798,0.16288100823996077
#comments (avg),BD50,0.03544623022836223,0.3681473952213643
#comments (avg),ABU50,0.022550135452171535,0.5669640849489335
#comparisons (avg),PBU,-0.07479030818267948,0.0645698196114057
#comparisons (avg),BD50,0.04776290948236271,0.23787243265473645
#comparisons (avg),ABU50,-0.10656001463083309,0.008455445979887614
Identifiers length (avg),PBU,-0.11854556337114737,0.0024805114093083528
Identifiers length (avg),BD50,0.011570804209539248,0.7677429488970227
Identifiers length (avg),ABU50,-0.11820982471717012,0.0025517238867767485
#conditionals (avg),PBU,-0.060067654688157834,0.13643812963112587
#conditionals (avg),BD50,0.07532250034289435,0.0618481869055287
#conditionals (avg),ABU50,-0.1147977318241942,0.0044265839200627495
Indentation length (avg),PBU,0.0034037800903978202,0.9322227716951798
Indentation length (avg),BD50,0.03911081680622205,0.3284490029209186
Indentation length (avg),ABU50,-0.02778130288672845,0.4875832946845805
#keywords (avg),PBU,0.024138097927756053,0.5398417064967866
#keywords (avg),BD50,0.05302276173831089,0.1780908381912708
#keywords (avg),ABU50,-0.019701183906569695,0.6168181430041395
Line length (avg),PBU,-0.018195365540687736,0.642353235357817
Line length (avg),BD50,-0.037536348996714486,0.338031245878749
Line length (avg),ABU50,0.012928293728263332,0.741417713059508
#loops (avg),PBU,-0.06624248224287477,0.1309134921299609
#loops (avg),BD50,0.017372051671017227,0.692008984344862
#loops (avg),ABU50,-0.07467516792639439,0.0886059423513961
#identifiers (avg),PBU,-0.03952569016587491,0.3130525110497998
#identifiers (avg),BD50,-0.06067795741579299,0.12144916642585715
#identifiers (avg),ABU50,0.011594882267500748,0.767273568938987
#numbers (avg),PBU,0.014184288957027502,0.72812719223288
#numbers (avg),BD50,-0.03925897990985175,0.33598456779371877
#numbers (avg),ABU50,0.04407979570456383,0.28002000707119545
#operators (avg),PBU,-0.009683558507742891,0.8124841290229837
