model,iteration,hyperparameters,target,warning_feature,feature_set,correlation_c,mse_c,mae_c,rmse_c,correlation_cw,mse_cw,mae_cw,rmse_cw,diff_mse,diff_mae,diff_rmse,experiment
mlp,5,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True}",TNPU,warnings_checker_framework,set1,-0.06522346887414299,56460.70227123307,179.217274237666,237.614608707531,-0.09153209497463763,57893.383340620174,191.47400337108644,240.61043896851228,-1432.6810693871012,-12.256729133420436,-2.995830260981279,exp1-TNPU-feature-set1
mlp,overall,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True}",TNPU,warnings_checker_framework,set1,0.007335412722965257,69893.50211729687,195.52809282332723,264.37379241766166,0.029879865675542065,92516.38810255076,243.36037866053988,304.16506719633463,-22622.885985253888,-47.83228583721265,-39.79127477867297,exp1-TNPU-feature-set1
mlp,1,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,-0.029732008896391948,86407.144077647,238.78082481397232,293.9509212056445,-0.04884544318692963,59333.27566981175,194.28867530486477,243.58422705465097,27073.868407835245,44.49214950910755,50.36669415099351,exp1-TNPU-feature-set1
mlp,2,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,-0.025511582446150278,78384.17378053324,150.9634570584995,279.971737467433,-0.12436896442498262,78602.35925385078,166.0849286000849,280.36112293584995,-218.18547331754235,-15.121471541585407,-0.3893854684169469,exp1-TNPU-feature-set1
mlp,3,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,0.2574310341403094,52440.60180032886,165.0658041130143,228.99913056675317,0.16719747578185046,63738.31912371964,197.01248254386684,252.4644908174606,-11297.717323390774,-31.94667843085253,-23.46536025070742,exp1-TNPU-feature-set1
mlp,4,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,0.018567681062025543,36529.48485167496,166.8966676328584,191.1268815516932,0.038726877643653276,37133.12423947639,171.487851711625,192.69956989956253,-603.6393878014278,-4.5911840787666165,-1.572688347869331,exp1-TNPU-feature-set1
mlp,5,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,-0.07508920366182847,39484.37366773943,136.03496333471531,198.70675294951462,-0.11016737179582135,40261.96963452565,137.18829949521157,200.6538552695304,-777.5959667862189,-1.1533361604962522,-1.947102320015773,exp1-TNPU-feature-set1
mlp,overall,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,0.029133184039592846,58649.15563558469,171.54834339061193,242.175877484907,-0.015491485196445975,55813.809584276845,173.21244753113064,236.24946472802185,2835.346051307846,-1.6641041405187025,5.926412756885156,exp1-TNPU-feature-set1
mlp,1,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'sgd', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,-0.04035058350224622,85196.3296601459,235.81035338786154,291.88410313024224,-0.12848475273083665,56254.150124196785,176.61701493937773,237.17957358127782,28942.179535949115,59.193338448483814,54.704529548964416,exp1-TNPU-feature-set1
mlp,2,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'sgd', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,0.02338561724230442,85220.40661138597,172.9565483657802,291.92534424298617,0.0031889478057687847,81171.86272164475,142.65536317231908,284.9067614530142,4048.543889741224,30.301185193461123,7.018582789971958,exp1-TNPU-feature-set1
mlp,3,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'sgd', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,0.18524418745354224,59660.26225011463,176.8884478789969,244.25450302934976,0.21390661187328802,69878.34330997623,209.37552037168373,264.3451215929211,-10218.0810598616,-32.48707249268682,-20.090618563571326,exp1-TNPU-feature-set1
mlp,4,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'sgd', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,0.002652525866003649,29434.713483950964,143.31216000185265,171.56547870696764,0.05994708457168247,23955.671515289607,92.18515795128026,154.7761981549153,5479.041968661357,51.127002050572386,16.789280552052332,exp1-TNPU-feature-set1
mlp,5,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'sgd', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,-0.09920544425394857,43359.091651588664,151.3235621425442,208.22846023439894,-0.17593893704705796,43183.486797742575,148.4769457052257,207.80636852065572,175.6048538460891,2.8466164373185165,0.42209171374321386,exp1-TNPU-feature-set1
mlp,overall,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'sgd', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,0.014345260561131104,60574.16073143723,176.0582143554071,246.11818447940257,-0.005476209105431068,54888.70289376999,153.8620004279773,234.2833815996559,5685.457837667243,22.196213927429795,11.834802879746661,exp1-TNPU-feature-set1
mlp,1,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.99, 'solver': 'sgd', 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,-0.061587732713954756,115501.33478035424,277.6742461454526,339.8548731155024,-0.12529918034908036,45961.02888134267,131.00681915912782,214.38523475590074,69540.30589901158,146.6674269863248,125.46963835960167,exp1-TNPU-feature-set1
mlp,2,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.99, 'solver': 'sgd', 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,0.06377895611537569,88819.09885580036,170.45824183775363,298.0253325739279,0.0,79463.5128211349,151.1766049744468,281.89273282781676,9355.586034665466,19.28163686330683,16.13259974611117,exp1-TNPU-feature-set1
