warning_feature,feature_set,#best_hyperparameters,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_typestate_checker,set1,c (25) cw (25),AU,mae,0.3394031919270147,0.3407473614023729,0.5309132935136577,0.6662337194767598,-0.0013441694753582034,-0.13532042596310212,0.8501938283443451,0.0016,negligible,25
warnings_typestate_checker,set1,c (25) cw (25),AU,rmse,0.3932073290193051,0.3948153805979159,0.6620797543749372,0.7956437424096976,-0.0016080515786107696,-0.13356398803476044,0.9218308925628662,-0.0528,negligible,25
warning_sum,set1,c (25) cw (25),AU,mse,0.1546120035944961,0.1556604795560172,0.6623495321437707,0.986378125944106,-0.001048475961521106,-0.32402859380033533,0.7199142575263977,-0.0368,negligible,25
warning_sum,set1,c (25) cw (25),AU,mae,0.3394031919270147,0.3393707152138171,0.5532428909438419,0.6627268721395301,3.247671319756007e-05,-0.10948398119568814,0.6735794544219971,-0.0208,negligible,25
warning_sum,set1,c (25) cw (25),AU,rmse,0.3932073290193051,0.3945383118988791,0.6829400725707221,0.7843565077324803,-0.0013309828795740053,-0.10141643516175824,0.7199142575263977,-0.0368,negligible,25
warnings_checker_framework,set2,c (27) cw (27),TNPU,mse,48851.955115068806,48730.69579184194,282803.9781169965,266239.6325700791,121.25932322686276,16564.345546917408,0.02455095201730728,0.09465020576131687,negligible,27
warnings_checker_framework,set2,c (27) cw (27),TNPU,mae,139.60242464733412,131.91954195989098,304.54197528799745,286.3847655391979,7.68288268744314,18.157209748799573,0.0849069282412529,0.13305898491083676,negligible,27
warnings_checker_framework,set2,c (27) cw (27),TNPU,rmse,221.0247839385185,220.75030190657031,418.84393451190675,403.23243207058374,0.274482031948196,15.611502441323012,0.020491592586040497,0.09465020576131687,negligible,27
warnings_infer,set2,c (31) cw (31),TNPU,mse,48506.39532091584,48387.33393919215,252439.0285636666,229980.84831526477,119.06138172369538,22458.180248401826,0.045134056359529495,0.07804370447450572,negligible,31
warnings_infer,set2,c (31) cw (31),TNPU,mae,141.47821707585692,136.68736118455843,283.0783900323129,264.85344310234575,4.7908558912984915,18.224946929967132,0.057807035744190216,0.09469302809573361,negligible,31
warnings_infer,set2,c (31) cw (31),TNPU,rmse,220.2416748050101,219.9712116145932,392.9367848258825,377.3060773473932,0.2704631904169048,15.630707478489285,0.045134056359529495,0.07804370447450572,negligible,31
warnings_openjml,set2,c (26) cw (26),TNPU,mse,48851.955115068806,48744.44796098613,294217.051217392,297576.0905662036,107.5071540826757,-3359.0393488115515,0.13738203757195971,0.09615384615384616,negligible,26
warnings_openjml,set2,c (26) cw (26),TNPU,mae,137.32134796795395,132.13200403576514,311.20624750354074,293.28132743134864,5.1893439321888195,17.924920072192094,0.028394904316388365,0.1257396449704142,negligible,26
warnings_openjml,set2,c (26) cw (26),TNPU,rmse,221.0247839385185,220.7814484076643,427.65842147664483,419.59440264869113,0.24333553085421045,8.064018827953703,0.11628728916910075,0.09615384615384616,negligible,26
warnings_typestate_checker,set2,c (28) cw (28),TNPU,mse,48851.955115068806,48855.63881140172,290220.9837962207,277985.1630709577,-3.683696332911495,12235.82072526298,0.22277123767063506,0.06505102040816327,negligible,28
