warning_feature,feature_set,#best_hyperparameters,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_typestate_checker,set2,c (10) cw (10),random_forest,AU,mae,0.3452674450911287,0.34693745651809665,0.34618226389992884,0.3475222398979634,-0.0016700114269679323,-0.0013399759980345372,0.8125,-0.22,small,10
warning_sum,set2,c (1) cw (1),svm,AU,mse,0.1660652821878261,0.1739041179330374,0.1660652821878261,0.1739041179330374,-0.007838835745211298,-0.007838835745211298,1.0,-1.0,large,1
warning_sum,set2,c (1) cw (1),svm,AU,mae,0.3442322776304034,0.3436234716803804,0.3442322776304034,0.3436234716803804,0.0006088059500230503,0.0006088059500230503,0.5,1.0,large,1
warning_sum,set2,c (8) cw (8),mlp,AU,mse,6.147746366856044,7.4357394173504145,9.200548047059844,6.988218865427827,-1.2879930504943706,2.2123291816320165,0.3203125,0.0625,negligible,8
warning_sum,set2,c (8) cw (8),mlp,AU,mae,1.825046588403524,2.0533658821579466,2.0607222398321223,1.9659839834419448,-0.2283192937544225,0.09473825639017752,0.37109375,0.0,negligible,8
warning_sum,set2,c (2) cw (2),linear_regression,AU,mse,0.4477147814482101,0.44246784471740674,0.4477147814482101,0.44246784471740674,0.005246936730803342,0.005246936730803342,0.25,0.5,large,2
warning_sum,set2,c (2) cw (2),linear_regression,AU,mae,0.5185572024663178,0.5164987871974647,0.5185572024663178,0.5164987871974647,0.0020584152688530866,0.0020584152688530866,0.25,0.5,large,2
warning_sum,set2,c (4) cw (4),knn,AU,mse,0.1640622002739741,0.1640963393560364,0.165435110251288,0.16302422884580903,-3.4139082062289994e-05,0.0024108814054789596,0.3125,0.125,negligible,4
warning_sum,set2,c (4) cw (4),knn,AU,mae,0.3526608012146105,0.3534615822657275,0.35420507024131054,0.35304310291250696,-0.0008007810511169722,0.0011619673288035814,0.3125,0.125,negligible,4
warning_sum,set2,c (10) cw (10),random_forest,AU,mse,0.15465806832355375,0.15190260308801576,0.1548521256961327,0.15270560081628487,0.0027554652355379905,0.0021465248798478165,0.1162109375,0.32,small,10
warning_sum,set2,c (10) cw (10),random_forest,AU,mae,0.34429217260372036,0.34550579328277176,0.34545133562537556,0.3454585630409913,-0.001213620679051397,-7.227415615762567e-06,0.4228515625,-0.14,negligible,10
warnings_checker_framework,set3,c (1) cw (1),svm,TNPU,mse,49826.78553318912,50973.85161987178,49826.78553318912,50973.85161987178,-1147.0660866826584,-1147.0660866826584,1.0,-1.0,large,1
warnings_checker_framework,set3,c (1) cw (1),svm,TNPU,mae,113.20231445878956,115.09637740356092,113.20231445878956,115.09637740356092,-1.8940629447713633,-1.8940629447713633,1.0,-1.0,large,1
warnings_checker_framework,set3,c (8) cw (8),mlp,TNPU,mse,97945.66574974317,79187.51391845544,101179.44653537522,81783.35740395129,18758.15183128773,19396.089131423927,0.15625,0.1875,small,8
