feature_set,feature,Target,Kendall's Tau,p-value
set4,Line length (avg),TNPU,-0.0007656238073430909,0.9841692898519603
set4,#loops (avg),TNPU,0.09327021973773593,0.03137502631045557
set4,#identifiers (avg),TNPU,0.025265585642321998,0.5126022568620644
set4,#numbers (avg),TNPU,0.009576570782794627,0.8119451961174072
set4,#operators (avg),TNPU,0.025067157600599566,0.533055173970868
set4,#parenthesis (avg),TNPU,0.004596051489688902,0.9056192632335073
set4,#periods (avg),TNPU,-0.0004256656185979753,0.9912043528594905
set4,#spaces (avg),TNPU,0.007060752889941838,0.8548068374287261
set4,Identifiers length (max),TNPU,-0.00037047968821467525,0.9924974129080246
set4,Indentation length (max),TNPU,-0.003184248932487991,0.9375868558379958
set4,#keywords (max),TNPU,-0.018930416355623564,0.6577537617995988
set4,Line length (max),TNPU,0.038664142385990946,0.31978132041246976
set4,#identifiers (max),TNPU,0.0765263206850638,0.057293968636908256
set4,#numbers (max),TNPU,0.016941787672766263,0.6845199752819802
set4,#characters (max),TNPU,0.03640515813376812,0.3456415529480684
set4,#words (max),TNPU,-0.015134237902878756,0.6995286102545686
set4,Entropy,TNPU,0.006422733050489262,0.8677999706130095
set4,Volume,TNPU,0.05805980539018439,0.13240206248821848
set4,LOC,TNPU,0.05366562504456112,0.17076356245477287
set4,#assignments (dft),TNPU,0.07766590388541937,0.04716069263418098
set4,#commas (dft),TNPU,0.07747003841669399,0.04742824651366067
set4,#comments (dft),TNPU,0.0540680232964638,0.1669272586341739
set4,#comparisons (dft),TNPU,0.049249995150000093,0.22133908505337396
set4,#conditionals (dft),TNPU,0.11313635375385214,0.004949289024319689
set4,Indentation length (dft),TNPU,0.06733944060843479,0.0869635308119456
set4,#keywords (dft),TNPU,0.06328512356340647,0.1052025290838952
set4,Line length (dft),TNPU,0.0760799973314797,0.05099855450887963
set4,#loops (dft),TNPU,0.10070183397235247,0.020149053814675567
set4,#identifiers (dft),TNPU,0.06844951156969371,0.07919471335305658
set4,#numbers (dft),TNPU,0.03991789673052242,0.3273544606400416
set4,#operators (dft),TNPU,0.04615187836300043,0.25370570070080944
set4,#parenthesis (dft),TNPU,0.06561593638149343,0.0929908261911612
set4,#periods (dft),TNPU,0.07466651434634633,0.05603039736508952
set4,#spaces (dft),TNPU,0.045930630933934534,0.24029618057096758
set4,Comments (Visual X),TNPU,0.017710733499308448,0.6597196351346413
set4,Comments (Visual Y),TNPU,0.030264056302092227,0.44962780136581226
set4,Identifiers (Visual X),TNPU,0.010250852087204717,0.7904976788143661
set4,Identifiers (Visual Y),TNPU,0.047426141399308126,0.21903009635255444
set4,Keywords (Visual X),TNPU,0.008978272762360871,0.816072297404768
set4,Keywords (Visual Y),TNPU,0.055082379472739036,0.15342637741906995
set4,Numbers (Visual X),TNPU,0.06492983144771175,0.1253526959196617
set4,Numbers (Visual Y),TNPU,0.06900590939774918,0.10333307752606884
set4,Strings (Visual X),TNPU,0.015518070643760313,0.6963058794243877
set4,Strings (Visual Y),TNPU,0.028927104504749192,0.46687242166000864
set4,Literals (Visual X),TNPU,0.08800883301876385,0.056039486668448865
set4,Literals (Visual Y),TNPU,0.08647634090152169,0.0604554773627932
set4,Operators (Visual X),TNPU,0.009995644151423686,0.7955963893279894
set4,Operators (Visual Y),TNPU,0.048574577110322766,0.20807567078533362
set4,Comments (area),TNPU,-0.019032609243887902,0.6339860957013641
set4,Identifiers (area),TNPU,0.0014887129587226767,0.9692236793542641
set4,Keywords (area),TNPU,-0.01846004068816119,0.6323538644727256
set4,Numbers (area),TNPU,0.06158535723229641,0.14601815751410024
set4,Strings (area),TNPU,-0.002064636008397295,0.9585845356224746
set4,Literals (area),TNPU,0.09315362798379109,0.04313243737781157
set4,Operators (area),TNPU,0.023649268715708806,0.5399410654119678
set4,Keywords/identifiers (area),TNPU,-0.026499090665263646,0.4922345956915134
set4,Numbers/identifiers (area),TNPU,0.05805061448500449,0.1707253933131717
set4,Strings/identifiers (area),TNPU,-0.010145576944489932,0.7985821479727225
set4,Literals/identifiers (area),TNPU,0.09512397499167387,0.03890381897577161
set4,Operators/literals (area),TNPU,-0.0026796833257008183,0.9446333874431407
set4,Numbers/keywords (area),TNPU,0.055680269945703714,0.18872860779871503
set4,Strings/keywords (area),TNPU,0.0001554027103094738,0.9968813137847691
set4,Literals/keywords (area),TNPU,0.09315362798379109,0.04313243737781157
set4,Operators/keywords (area),TNPU,0.04670305224792854,0.2261363955146395
set4,#aligned blocks,TNPU,0.033050517856016336,0.39480572758979704
set4,Extent of aligned blocks,TNPU,0.01744060114156424,0.652759071842192
set4,#nested blocks (avg),TNPU,0.07140125063297055,0.07280789607045264
set4,#parameters,TNPU,0.02392749285417222,0.5758935092810928
set4,#statements,TNPU,0.055407117399925924,0.15567585201108133
set1,#keywords (max),TAU,-0.0033389603242667217,0.929056849375083
set1,Operators/keywords (area),TAU,-0.022782498590007562,0.4982031329414631
set1,Identifiers length (avg),TAU,-0.08582993762150978,0.01071959947998491
set1,IMSQ (max),TAU,-0.05690466124603722,0.12250248278038496
set1,#nested blocks (avg),TAU,-0.11643371438594385,0.0007873729645269567
set1,PE gen,TAU,0.07293704288932601,0.042744407214331086
set1,developer_position,TAU,0.14845319505662363,0.00012154958235444933
set2,#parameters,TAU,-0.11015880889828304,0.0030039495091162996
set2,PE spec (java),TAU,0.10900096648125433,0.002906558478489325
set2,#comments (avg),TAU,0.05576373993892999,0.09912036943177306
set2,#keywords (avg),TAU,-0.002881270593131589,0.9320720308252579
set2,#operators (dft),TAU,-0.0054457556657824795,0.8771790289132406
set2,PE gen,TAU,0.07293704288932601,0.042744407214331086
set2,developer_position,TAU,0.14845319505662363,0.00012154958235444933
set3,PE spec (java),TAU,0.10900096648125433,0.002906558478489325
set3,Cyclomatic complexity,TAU,-0.12106387120624651,0.001152485810376619
set3,AEDQ (min),TAU,0.0674387179098939,0.051226310172966485
set3,AEDQ (avg),TAU,0.06433387579217391,0.056536631049964016
set3,NMI (avg),TAU,0.04657189731196786,0.16618265316476688
set3,TC (avg),TAU,-0.15064866140040337,9.686522018165665e-06
set3,#blank lines (avg),TAU,0.09129407042620388,0.007549304130345688
