model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,tp_cw,tn_cw,fp_cw,fn_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",ABU50,126,135,86,97,126,141,80,97,0.5943396226415094,0.5650224215246636,0.5793103448275861,0.5878378378378378,0.6116504854368932,0.5650224215246636,0.5874125874125874,0.6013513513513513,0.5876482213438735,0.6013833992094862,0.0173108627953837,0.0,0.0081022425850012,0.0135135135135134,0.0137351778656127,exp5-Kendals-ABU50,True
randomForest_classifier,overall,"cw - {'n_estimators': 50, 'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.1}",ABU50,118,133,88,105,125,136,85,98,0.5728155339805825,0.5291479820627802,0.55011655011655,0.5653153153153153,0.5952380952380952,0.5605381165919282,0.5773672055427251,0.5878378378378378,0.5648221343873516,0.5876482213438735,0.0224225612575127,0.0313901345291479,0.0272506554261751,0.0225225225225225,0.0228260869565218,exp5-Kendals-ABU50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'sqrt'}",ABU50,123,142,79,100,119,134,87,104,0.6089108910891089,0.5515695067264574,0.5788235294117647,0.5968468468468469,0.5776699029126213,0.5336322869955157,0.5547785547785548,0.5698198198198198,0.5970355731225296,0.5697628458498023,-0.0312409881764875,-0.0179372197309417,-0.0240449746332099,-0.027027027027027,-0.0272727272727273,exp5-Kendals-ABU50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 10}",ABU50,119,141,80,104,115,136,85,108,0.5979899497487438,0.5336322869955157,0.5639810426540285,0.5855855855855856,0.575,0.515695067264574,0.5437352245862883,0.5653153153153153,0.5857707509881424,0.5654150197628458,-0.0229899497487438,-0.0179372197309416,-0.0202458180677401,-0.0202702702702702,-0.0203557312252965,exp5-Kendals-ABU50,True
randomForest_classifier,overall,"cw - {'max_depth': 6, 'random_state': 42, 'criterion': 'entropy', 'n_estimators': 10, 'max_features': 0.1}",ABU50,112,142,79,111,127,132,89,96,0.5863874345549738,0.5022421524663677,0.5410628019323672,0.5720720720720721,0.5879629629629629,0.5695067264573991,0.5785876993166287,0.5833333333333334,0.5722332015810276,0.5830039525691699,0.0015755284079891,0.0672645739910313,0.0375248973842614,0.0112612612612612,0.0107707509881422,exp5-Kendals-ABU50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",BD50,55,209,149,31,54,186,172,32,0.2696078431372549,0.6395348837209303,0.3793103448275862,0.5945945945945946,0.2389380530973451,0.627906976744186,0.3461538461538461,0.5405405405405406,0.6098015873015872,0.5743055555555555,-0.0306697900399097,-0.0116279069767442,-0.0331564986737401,-0.054054054054054,-0.0354960317460316,exp6-Kendals-BD50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",BD50,50,214,144,36,52,197,161,34,0.2577319587628865,0.5813953488372093,0.3571428571428571,0.5945945945945946,0.244131455399061,0.6046511627906976,0.3478260869565217,0.5608108108108109,0.5890873015873017,0.5785515873015873,-0.0136005033638255,0.0232558139534883,-0.0093167701863353,-0.0337837837837837,-0.0105357142857144,exp6-Kendals-BD50,True
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'log2'}",BD50,55,208,150,31,53,213,145,33,0.2682926829268293,0.6395348837209303,0.3780068728522337,0.5923423423423423,0.2676767676767677,0.6162790697674418,0.3732394366197182,0.5990990990990991,0.6098809523809524,0.6050198412698412,-0.0006159152500616,-0.0232558139534884,-0.0047674362325154,0.0067567567567567,-0.0048611111111112,exp6-Kendals-BD50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100, 'max_features': 'sqrt'}",BD50,54,207,151,32,57,200,158,29,0.2634146341463415,0.627906976744186,0.3711340206185567,0.5878378378378378,0.2651162790697674,0.6627906976744186,0.3787375415282392,0.5788288288288288,0.6029365079365079,0.6106150793650793,0.0017016449234259,0.0348837209302325,0.0076035209096824,-0.009009009009009,0.0076785714285714,exp6-Kendals-BD50,True
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'sqrt'}",BD50,53,211,147,33,58,192,166,28,0.265,0.6162790697674418,0.3706293706293707,0.5945945945945946,0.2589285714285714,0.6744186046511628,0.3741935483870968,0.5630630630630631,0.6029761904761904,0.6048214285714285,-0.0060714285714285,0.0581395348837209,0.0035641777577261,-0.0315315315315315,0.001845238095238,exp6-Kendals-BD50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 10}",BD50,52,210,148,34,55,210,148,31,0.26,0.6046511627906976,0.3636363636363636,0.5900900900900901,0.270935960591133,0.6395348837209303,0.3806228373702422,0.5968468468468469,0.5945634920634919,0.6132738095238095,0.0109359605911329,0.0348837209302326,0.0169864737338785,0.0067567567567567,0.0187103174603175,exp6-Kendals-BD50,True
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100, 'max_features': 'log2'}",BD50,54,207,151,32,56,206,152,30,0.2634146341463415,0.627906976744186,0.3711340206185567,0.5878378378378378,0.2692307692307692,0.6511627906976745,0.380952380952381,0.5900900900900901,0.6029365079365079,0.6141666666666666,0.0058161350844277,0.0232558139534884,0.0098183603338242,0.0022522522522522,0.0112301587301587,exp6-Kendals-BD50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'sqrt'}",BD50,55,208,150,31,55,196,162,31,0.2682926829268293,0.6395348837209303,0.3780068728522337,0.5923423423423423,0.2534562211981567,0.6395348837209303,0.3630363036303631,0.5653153153153153,0.6098809523809524,0.5932142857142857,-0.0148364617286725,0.0,-0.0149705692218706,-0.0270270270270269,-0.0166666666666667,exp6-Kendals-BD50,True
randomForest_classifier,overall,"cw - {'max_depth': 6, 'random_state': 42, 'criterion': 'gini', 'max_features': 0.5, 'n_estimators': 10}",BD50,54,236,122,32,51,225,133,35,0.3068181818181818,0.627906976744186,0.4122137404580153,0.6531531531531531,0.2771739130434782,0.5930232558139535,0.3777777777777777,0.6216216216216216,0.644265873015873,0.6113095238095239,-0.0296442687747035,-0.0348837209302325,-0.0344359626802375,-0.0315315315315315,-0.0329563492063491,exp6-Kendals-BD50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_features': 0.5, 'n_estimators': 10, 'max_depth': 7}",BD50,51,241,117,35,46,234,124,40,0.3035714285714285,0.5930232558139535,0.4015748031496063,0.6576576576576577,0.2705882352941176,0.5348837209302325,0.3593749999999999,0.6306306306306306,0.6331547619047619,0.5934920634920634,-0.0329831932773109,-0.058139534883721,-0.0421998031496063,-0.027027027027027,-0.0396626984126985,exp6-Kendals-BD50,True
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'log2'}",BD50,53,211,147,33,55,202,156,31,0.265,0.6162790697674418,0.3706293706293707,0.5945945945945946,0.2606635071090047,0.6395348837209303,0.3703703703703704,0.5788288288288288,0.6029761904761904,0.600734126984127,-0.0043364928909952,0.0232558139534884,-0.0002590002590002,-0.0157657657657658,-0.0022420634920634,exp6-Kendals-BD50,True
randomForest_classifier,overall,"c - {'max_depth': 6, 'random_state': 42, 'criterion': 'entropy', 'n_estimators': 10, 'max_features': 0.1}",BD50,50,225,133,36,52,208,150,34,0.273224043715847,0.5813953488372093,0.3717472118959108,0.6193693693693694,0.2574257425742574,0.6046511627906976,0.3611111111111111,0.5855855855855856,0.6057539682539682,0.5932142857142857,-0.0157983011415895,0.0232558139534883,-0.0106361007847997,-0.0337837837837837,-0.0125396825396825,exp6-Kendals-BD50,True
mlp_classifier,overall,"c - {'solver': 'adam', 'random_state': 42, 'activation': 'relu', 'early_stopping': True, 'hidden_layer_sizes': (50, 100, 50), 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200}",PBU,131,91,44,178,178,69,66,131,0.7485714285714286,0.4239482200647249,0.5413223140495868,0.5,0.7295081967213115,0.5760517799352751,0.6437613019891502,0.5563063063063063,0.5464971050454922,0.545147701760605,-0.019063231850117,0.1521035598705502,0.1024389879395634,0.0563063063063062,-0.0013494032848871,exp4-Kendals-PBU,True
mlp_classifier,overall,"c - {'solver': 'adam', 'random_state': 42, 'activation': 'relu', 'early_stopping': True, 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200}",PBU,203,39,96,106,166,70,65,143,0.6789297658862876,0.656957928802589,0.6677631578947367,0.545045045045045,0.7186147186147186,0.5372168284789643,0.6148148148148147,0.5315315315315315,0.4724506676119578,0.5292030012997755,0.0396849527284309,-0.1197411003236246,-0.052948343079922,-0.0135135135135134,0.0567523336878176,exp4-Kendals-PBU,True
mlp_classifier,overall,"cw - {'solver': 'adam', 'random_state': 42, 'activation': 'relu', 'hidden_layer_sizes': (100,), 'early_stopping': True, 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200}",PBU,100,89,46,209,124,81,54,185,0.684931506849315,0.3236245954692556,0.4395604395604395,0.4256756756756756,0.6966292134831461,0.401294498381877,0.5092402464065708,0.4617117117117117,0.4938095238095238,0.499874748907007,0.011697706633831,0.0776699029126213,0.0696798068461312,0.036036036036036,0.0060652250974832,exp4-Kendals-PBU,True
mlp_classifier,overall,"c - {'solver': 'adam', 'random_state': 42, 'activation': 'relu', 'early_stopping': True, 'hidden_layer_sizes': (50, 100, 50), 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200}",ABU50,128,136,85,95,129,124,97,94,0.6009389671361502,0.5739910313901345,0.5871559633027523,0.5945945945945946,0.5707964601769911,0.57847533632287,0.5746102449888641,0.5698198198198198,0.5960474308300394,0.5693675889328064,-0.0301425069591591,0.0044843049327354,-0.0125457183138881,-0.0247747747747748,-0.026679841897233,exp5-Kendals-ABU50,True
mlp_classifier,overall,"cw - {'solver': 'adam', 'random_state': 42, 'activation': 'relu', 'early_stopping': True, 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200}",ABU50,125,110,111,98,102,132,89,121,0.5296610169491526,0.5605381165919282,0.5446623093681917,0.5292792792792793,0.5340314136125655,0.4573991031390134,0.4927536231884057,0.527027027027027,0.5295454545454545,0.5261857707509882,0.0043703966634128,-0.1031390134529147,-0.0519086861797859,-0.0022522522522523,-0.0033596837944663,exp5-Kendals-ABU50,True
mlp_classifier,overall,"cw - {'solver': 'adam', 'random_state': 42, 'activation': 'relu', 'hidden_layer_sizes': (100,), 'early_stopping': True, 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200}",ABU50,7,216,5,216,96,169,52,127,0.5833333333333334,0.0313901345291479,0.0595744680851063,0.5022522522522522,0.6486486486486487,0.4304932735426009,0.5175202156334233,0.5968468468468469,0.5041501976284585,0.5980237154150198,0.0653153153153153,0.3991031390134529,0.4579457475483169,0.0945945945945946,0.0938735177865612,exp5-Kendals-ABU50,True
mlp_classifier,overall,"c - {'solver': 'adam', 'random_state': 42, 'activation': 'relu', 'early_stopping': True, 'hidden_layer_sizes': (50, 100, 50), 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200}",BD50,48,182,176,38,56,164,194,30,0.2142857142857142,0.5581395348837209,0.3096774193548386,0.5180180180180181,0.224,0.6511627906976745,0.3333333333333333,0.4954954954954955,0.530892857142857,0.552579365079365,0.0097142857142857,0.0930232558139535,0.0236559139784947,-0.0225225225225225,0.0216865079365079,exp6-Kendals-BD50,True
mlp_classifier,overall,"cw - {'solver': 'adam', 'random_state': 42, 'activation': 'relu', 'early_stopping': True, 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200}",BD50,45,189,169,41,52,173,185,34,0.2102803738317757,0.5232558139534884,0.3,0.527027027027027,0.2194092827004219,0.6046511627906976,0.3219814241486068,0.5067567567567568,0.5262301587301587,0.5415476190476189,0.0091289088686462,0.0813953488372092,0.0219814241486068,-0.0202702702702701,0.0153174603174602,exp6-Kendals-BD50,True
mlp_classifier,overall,"cw - {'solver': 'adam', 'random_state': 42, 'activation': 'relu', 'hidden_layer_sizes': (100,), 'early_stopping': True, 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200}",BD50,17,313,45,69,50,198,160,36,0.2741935483870967,0.1976744186046511,0.2297297297297297,0.7432432432432432,0.238095238095238,0.5813953488372093,0.3378378378378378,0.5585585585585585,0.5379563492063492,0.5678174603174602,-0.0360983102918586,0.3837209302325581,0.1081081081081081,-0.1846846846846846,0.029861111111111,exp6-Kendals-BD50,True
