experiment,warning_feature,feature_set,#best_hyperparameters,use_smote,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,6,False,mlp_classifier,PBU,auc,0.5,0.5,0.4982775786539227,0.500946980825352,0.0,0.002669402171429358,0.22904411735790503,-0.1111111111111111,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,2,False,bayes_network,PBU,f1,0.7907764460656592,0.7829540066382172,0.7907764460656592,0.7829540066382172,-0.007822439427441985,-0.007822439427441985,1.0,1.0,large
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,2,False,bayes_network,PBU,precision,0.7117587939698493,0.7062538071065989,0.7117587939698493,0.7062538071065989,-0.005504986863250405,-0.005504986863250405,1.0,0.5,large
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,2,False,bayes_network,PBU,recall,0.889967637540453,0.8786407766990292,0.889967637540453,0.8786407766990292,-0.01132686084142387,-0.01132686084142387,1.0,0.5,large
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,2,False,bayes_network,PBU,auc,0.5320529016589302,0.5208521848130521,0.5320529016589302,0.5208521848130521,-0.01120071684587809,-0.01120071684587809,1.0,0.5,large
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,2,False,SVC,PBU,f1,0.8210968207706087,0.8210968207706087,0.8210968207706087,0.8210968207706087,0.0,0.0,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,2,False,SVC,PBU,precision,0.6988904041656335,0.6988904041656335,0.6988904041656335,0.6988904041656335,0.0,0.0,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,2,False,SVC,PBU,recall,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.0,0.0,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,2,False,SVC,PBU,auc,0.506813463384061,0.506813463384061,0.506813463384061,0.506813463384061,0.0,0.0,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,3,False,knn_classifier,PBU,f1,0.8130081300813008,0.8130081300813008,0.8115378467733666,0.8115378467733666,0.0,0.0,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,3,False,knn_classifier,PBU,precision,0.6993006993006993,0.6993006993006993,0.6994420406984073,0.6994420406984073,0.0,0.0,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,3,False,knn_classifier,PBU,recall,0.970873786407767,0.970873786407767,0.9665587918015102,0.9665587918015102,0.0,0.0,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,3,False,knn_classifier,PBU,auc,0.5076267700804983,0.5076267700804983,0.5079453682485587,0.5079453682485587,0.0,0.0,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,5,False,logistic_regression,PBU,f1,0.8207171314741035,0.8138888888888889,0.8188305937171505,0.8133780319905061,-0.006828242585214639,-0.005452561726644434,0.891816259871201,0.24,small
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,5,False,logistic_regression,PBU,precision,0.7136038186157518,0.7081218274111675,0.7090627475701755,0.7069810683194059,-0.005481991204584369,-0.0020816792507696302,0.891816259871201,0.16,small
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,5,False,logistic_regression,PBU,recall,0.9676375404530744,0.9611650485436892,0.96957928802589,0.9585760517799352,-0.006472491909385147,-0.011003236245954784,0.891816259871201,0.16,small
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,5,False,logistic_regression,PBU,auc,0.5393736412245137,0.5255283310809488,0.5284842431008481,0.5237305364592515,-0.013845310143564937,-0.004753706641596578,0.891816259871201,0.16,small
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,9,False,randomForest_classifier,PBU,f1,0.8137931034482759,0.8099861303744799,0.8105296604998273,0.8110328223855977,-0.0038069730737960716,0.0005031618857703757,0.3611414813580961,-0.037037037037037035,negligible
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,9,False,randomForest_classifier,PBU,precision,0.713216957605985,0.7087378640776699,0.7125077524934275,0.7093661618877882,-0.0044790935283151034,-0.003141590605639233,0.9622197162370293,0.5061728395061729,large
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,9,False,randomForest_classifier,PBU,recall,0.941747572815534,0.9449838187702264,0.9399496583962603,0.9467817331895003,0.003236245954692407,0.006832074793239995,0.06914714546259752,-0.345679012345679,medium
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,9,False,randomForest_classifier,PBU,auc,0.5368450946980825,0.5280039955344027,0.5357772250186611,0.5293115755158179,-0.00884109916367981,-0.006465649502843229,0.9622197162370293,0.4567901234567901,medium
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,7,False,mlp_classifier,PBU,f1,0.8207171314741035,0.8202396804260985,0.8187108496916224,0.8150461214677415,-0.0004774510480050065,-0.0036647282238809753,0.8241596586007236,0.24489795918367346,small
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,7,False,mlp_classifier,PBU,precision,0.6959459459459459,0.6968325791855203,0.6955362798531336,0.6970036108374181,0.0008866332395743859,0.0014673309842845317,0.17584034139927635,-0.32653061224489793,small
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,7,False,mlp_classifier,PBU,recall,1.0,0.9967637540453076,0.9949144706426261,0.9815071659731854,-0.003236245954692407,-0.013407304669440623,0.8241596586007236,0.2653061224489796,small
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,7,False,mlp_classifier,PBU,auc,0.5,0.5020908004778972,0.49905273937532,0.5024160671966066,0.0020908004778972256,0.003363327821286566,0.17584034139927635,-0.32653061224489793,small
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,2,False,bayes_network,PBU,f1,0.7907764460656592,0.7887403338874033,0.7907764460656592,0.7887403338874033,-0.0020361121782559444,-0.0020361121782559444,0.8144533152386513,0.25,small
