feature_set,warning_feature,target,use_smote,#models_F1_mean_improved / 6,#models_F1_median_improved / 6,#models_improved_both_F1(median+mean) / 6,#models_improved_F1_mean_with_statistical_significance / 6,#models_improved_F1_median_with_statistical_significance / 6,#models_improved_both_F1(mean+median)_with_statistical_significance / 6,avg(mean_F1_improvement),median(mean_F1_improvement),q3(mean_F1_improvement),avg(median_F1_improvement),median(median_F1_improvement),q3(median_F1_improvement),#models_AUC_mean_improved / 6,#models_AUC_median_improved / 6,#models_improved_both_AUC(median+mean) / 6,#models_improved_in_F1(median+mean)+AUC(median+mean) / 12,#models_improved_AUC_mean_with_statistical_significance / 6,#models_improved_AUC_median_with_statistical_significance / 6,#models_improved_both_AUC(mean+median)_with_statistical_significance / 6,#models_improved_F1(mean+median)+AUC(mean+median)_with_statistical_significance / 12,avg(mean_AUC_improvement),median(mean_AUC_improvement),q3(mean_AUC_improvement),avg(median_AUC_improvement),median(median_AUC_improvement),q3(median_AUC_improvement)
set2,warnings_infer,PBU,False,1,0,0,0,0,0,-0.004454427171514633,-0.00353800622871815,-0.0006887052341598,-0.00411361932789745,-0.0027682472174034,-0.0006887052341598,2,0,0,0,0,0,0,0,-0.00338446374593475,-0.00269135476036585,0.000412186379928225,-0.0043396759177650665,-0.00327207826546795,-0.00029036175255105
set2,warnings_infer,ABU50,True,4,3,3,0,0,0,0.007308943535717034,0.0026661254406109497,0.017336022261756175,0.0005534119844052988,0.00020007868461319997,0.016596537815232702,4,4,4,4,0,0,0,0,0.0011367377478489007,0.0023383838383838,0.005906986531986525,-0.000273569023569067,0.0017929292929292498,0.008251262626262499
set2,warnings_infer,ABU50,False,4,3,3,1,1,1,-0.015338266527021367,0.00229350896094935,0.010125470168911126,-0.01816494640660565,0.0026142704195577003,0.007435778494826025,5,3,3,2,0,0,0,0,0.0012522847522847503,0.0029444444444443997,0.00478535353535345,-0.0015614478114477834,0.00103535353535355,0.004494949494949425
set2,warnings_infer,BD50,True,2,2,2,1,1,1,-0.01391475584587675,-0.00077269173245065,0.00036271437955755,-0.0016793782863579836,-0.0007928118393234,0.00108814313867265,4,2,2,4,1,1,1,2,0.001983197295610983,0.0006391919052440001,0.00273113627297545,0.0013922450826966502,-0.00056038847463865,0.00155516431924875
set2,warnings_infer,BD50,False,1,1,1,0,0,0,-0.0015343073977774203,-0.0042735042735042,0.0,-0.0032905340035811804,0.0,0.0,1,1,1,2,0,0,0,0,-0.0017870523796372402,-0.0015327257663628,0.0,-0.0017300699622571803,0.0,0.0
set2,warnings_openjml,PBU,True,2,4,2,0,0,0,0.002424302565376966,-0.0008325971543673,0.003383493683835375,0.03166729115762649,0.0046061907182325,0.009619934851674899,4,4,4,2,1,1,1,0,0.003800316079974083,0.00387026591195455,0.006657294555011775,0.00469662991036155,0.0050029868578255,0.0088368147364708
set2,warnings_openjml,PBU,False,1,1,1,0,0,0,-0.007189464960190767,-0.0059971286816703,-0.001365305433371975,-0.0075457861658823,-0.00585472268297965,-0.00129410243402665,3,3,3,2,0,0,0,0,0.0019411923601725999,0.00111688896723265,0.006026873151575674,0.0013436779808187833,0.00111688896723265,0.0065969161917072494
set2,warnings_openjml,ABU50,True,2,2,2,0,0,0,-0.003988554307114517,-0.0071861346914343,0.004799272146566475,-0.007408979314530617,-0.0066231136920792,0.0015166520517173494,3,3,3,4,1,1,1,0,0.0018347763347763167,0.0003906926406926501,0.006415043290043275,0.001540404040404,-0.0012626262626264,0.005580808080808025
set2,warnings_openjml,ABU50,False,3,3,3,1,1,1,0.0369386262404839,0.0063716597568818,0.015085771452276926,0.03518893275032391,0.00522497344169435,0.010680623831928625,2,2,2,2,1,1,1,2,-0.0051679292929293005,-6.944444444445e-05,0.00015151515151515,-0.00561026936026935,-0.0005681818181818,0.00015151515151515
set2,warnings_openjml,BD50,True,4,4,4,1,1,1,-0.015764668305117118,0.0021626792222796502,0.0068521848409613,-0.00635459293378465,0.0050443225998147,0.012332779061702225,5,5,5,8,1,1,1,2,0.004159921402050616,0.00593518628108515,0.0084215567095383,0.004158899475283033,0.0036505799502899,0.009660803875540726
set2,warnings_openjml,BD50,False,3,2,2,0,0,0,0.00898501630616316,0.0030492109408376,0.017649628658803,0.008519055269814479,0.0,0.017649628658803,3,2,2,2,0,0,0,0,0.00191784037558686,0.0003663812943017,0.0017156862745098,0.00203235754395654,0.0,0.0017156862745098
set2,warnings_typestate_checker,PBU,True,5,6,5,1,1,1,0.019593369861554702,0.006356494176208399,0.016769902859377576,0.029966970303558146,0.0163545039829184,0.021836878323428073,5,5,5,6,0,0,0,0,0.0060784617679607,0.00608408871379665,0.010615257737150875,0.011006571087216116,0.0088841882601796,0.0202554253089682
set2,warnings_typestate_checker,PBU,False,0,0,0,0,0,0,-0.007726577235053517,-0.00881247342608015,-0.0022921496475422,-0.007821298439986017,-0.00744024474427515,-0.0020057131550509,2,1,1,0,0,0,0,0,-0.0043531956658462165,-0.0002218721233131,0.00014184514366305,-0.005423840021936267,-0.00170250896057345,-0.00034348864994025
set2,warnings_typestate_checker,ABU50,True,3,2,2,1,1,1,-0.00985974439924695,-0.0041716890451892995,0.0121447398280276,-0.009068414047878483,-0.0009127115831397,0.009018137541379501,3,2,2,2,1,1,1,2,-0.001955176767676734,0.00026409932659940015,0.0075369318181818246,0.0008670033670032997,-0.001969696969697,0.006704545454545425
set2,warnings_typestate_checker,ABU50,False,1,2,1,0,0,0,-0.014915387824437621,-0.0050695784630477,-0.0017126758014542,-0.01930604810695514,-0.0146991665715263,0.0016339869281045,2,2,2,2,1,1,1,0,-0.00299704184704186,-0.0010984848484849,0.0053679653679654,-0.0030454545454545604,-0.004469696969697,0.0094949494949493
set2,warnings_typestate_checker,BD50,True,4,6,4,0,0,0,-0.00014417817139068326,0.0012227361375795,0.001647197931042375,0.003068154409360617,0.0024106776842754,0.0036213147904168496,5,6,5,6,0,0,0,0,0.0016514103685292332,0.001764015465341,0.00257410475927455,0.0032719053975267,0.0031396713615023,0.0040140557396666
set2,warnings_typestate_checker,BD50,False,3,2,2,0,0,0,0.00886748824754248,0.005866959029417,0.017649628658803,0.0056412335953666595,0.0,0.017649628658803,3,2,2,2,0,0,0,0,0.00178809695500524,0.0012898012621845,0.0017156862745098,0.0008183742980760196,0.0,0.0017156862745098
set2,warning_sum,PBU,True,5,6,5,0,0,0,0.03286899299084923,0.00811626168843905,0.01058278842635895,0.052672938500261064,0.0111818107686341,0.018343509267665876,6,5,5,6,0,0,0,0,0.007103503885531749,0.0046191837880538,0.006585205424003175,0.006109756416031616,0.0057164051941945,0.007673409130971175
set2,warning_sum,PBU,False,0,0,0,0,0,0,-0.0077122395812687,-0.00798419592034705,-0.0028811704798153747,-0.006681595897778733,-0.0069761472603429,-0.0030498365431136,1,1,1,0,0,0,0,0,-0.004395973874204084,-0.0031682727148089,-0.0006533139432399,-0.003661430688576767,-0.00274913332158175,-0.000443744246626325
set2,warning_sum,ABU50,True,4,4,4,0,0,0,0.004351004370107585,0.0097383801269214,0.0151150949611766,0.000538477602460318,0.0075353074146909,0.018891177352318,3,3,3,6,1,1,1,0,4.412177328838295e-05,-0.00132407407407405,0.01179166666666655,-0.0001473063973063994,-0.0034217171717171,0.010208333333333375
set2,warning_sum,ABU50,False,3,2,2,0,0,0,-0.007528256463677383,-0.00111576517747545,0.00189829976866215,-0.008605971358451182,-0.00187731585898545,0.0014563599925347,2,1,1,0,0,0,0,0,-0.004783155630377834,-0.0040012626262627,0.000303661616161525,-0.0062542087542087005,-0.007790404040404,-0.001249999999999875
