model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,tp_cw,tn_cw,fp_cw,fn_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
randomForest_classifier,overall,"c - {'max_depth': 6, 'random_state': 42, 'criterion': 'entropy', 'n_estimators': 10, 'max_features': 0.1}",PBU,283,20,115,26,287,18,117,22,0.7110552763819096,0.9158576051779936,0.8005657708628006,0.6824324324324325,0.7103960396039604,0.9288025889967636,0.8050490883590462,0.6869369369369369,0.5330166607585963,0.532325416518965,-0.0006592367779492,0.0129449838187701,0.0044833174962456,0.0045045045045044,-0.0006912442396312,exp1-Kendals-PBU,False
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 10}",PBU,286,21,114,23,289,17,118,20,0.715,0.9255663430420712,0.8067700987306065,0.6914414414414415,0.7100737100737101,0.9352750809061487,0.8072625698324022,0.6891891891891891,0.5417552877230297,0.5317588325652842,-0.0049262899262898,0.0097087378640776,0.0004924711017957,-0.0022522522522523,-0.0099964551577454,exp1-Kendals-PBU,False
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",ABU50,125,143,78,98,127,146,75,96,0.6157635467980296,0.5605381165919282,0.5868544600938967,0.6036036036036037,0.6287128712871287,0.5695067264573991,0.5976470588235294,0.6148648648648649,0.6035573122529644,0.6150197628458498,0.0129493244890991,0.0089686098654708,0.0107925987296326,0.0112612612612612,0.0114624505928854,exp2-Kendals-ABU50,False
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'sqrt'}",ABU50,129,140,81,94,121,138,83,102,0.6142857142857143,0.57847533632287,0.5958429561200924,0.6058558558558559,0.5931372549019608,0.5426008968609866,0.5667447306791569,0.5833333333333334,0.6057312252964427,0.583300395256917,-0.0211484593837535,-0.0358744394618834,-0.0290982254409355,-0.0225225225225225,-0.0224308300395257,exp2-Kendals-ABU50,False
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",ABU50,127,141,80,96,128,144,77,95,0.6135265700483091,0.5695067264573991,0.5906976744186047,0.6036036036036037,0.624390243902439,0.5739910313901345,0.5981308411214953,0.6126126126126126,0.6035573122529645,0.6125494071146245,0.0108636738541298,0.0044843049327354,0.0074331667028906,0.0090090090090089,0.0089920948616599,exp2-Kendals-ABU50,False
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 10}",ABU50,123,137,84,100,122,134,87,101,0.5942028985507246,0.5515695067264574,0.5720930232558139,0.5855855855855856,0.583732057416268,0.547085201793722,0.5648148148148149,0.5765765765765766,0.5857707509881422,0.5765810276679842,-0.0104708411344566,-0.0044843049327354,-0.007278208440999,-0.009009009009009,-0.0091897233201579,exp2-Kendals-ABU50,False
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100, 'max_features': 0.1}",ABU50,120,133,88,103,120,134,87,103,0.5769230769230769,0.5381165919282511,0.5568445475638051,0.5698198198198198,0.5797101449275363,0.5381165919282511,0.5581395348837208,0.5720720720720721,0.5694664031620553,0.5721343873517786,0.0027870680044593,0.0,0.0012949873199157,0.0022522522522523,0.0026679841897232,exp2-Kendals-ABU50,False
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100, 'max_features': 'sqrt'}",ABU50,124,129,92,99,124,131,90,99,0.5740740740740741,0.5560538116591929,0.5649202733485194,0.5698198198198198,0.5794392523364486,0.5560538116591929,0.5675057208237986,0.5743243243243243,0.5694664031620553,0.5740118577075098,0.0053651782623744,0.0,0.0025854474752792,0.0045045045045045,0.0045454545454545,exp2-Kendals-ABU50,False
randomForest_classifier,overall,"cw - {'n_estimators': 50, 'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.1}",ABU50,119,133,88,104,124,137,84,99,0.5748792270531401,0.5336322869955157,0.5534883720930233,0.5675675675675675,0.5961538461538461,0.5560538116591929,0.5754060324825987,0.5878378378378378,0.567094861660079,0.5876482213438735,0.021274619100706,0.0224215246636771,0.0219176603895754,0.0202702702702702,0.0205533596837944,exp2-Kendals-ABU50,False
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",BD50,0,354,4,86,0,354,4,86,0.0,0.0,,0.7972972972972973,0.0,0.0,,0.7972972972972973,0.4944444444444444,0.4944444444444444,0.0,0.0,,0.0,0.0,exp3-Kendals-BD50,False
