Experiment,use_SMOTE,metric,model,target,#best hyperparameters,wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result
exp5-PBU-feature-set1-NO-SMOTE,False,diff_recall,bayes_network,PBU,1,1.0,1.0,large
exp5-PBU-feature-set1-NO-SMOTE,False,diff_auc,bayes_network,PBU,1,1.0,1.0,large
exp6-PBU-feature-set2-NO-SMOTE,False,diff_f1,SVC,PBU,1,0.5,0.0,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_precision,SVC,PBU,1,0.5,0.0,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_recall,SVC,PBU,1,0.5,0.0,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_auc,SVC,PBU,1,0.5,0.0,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_f1,knn_classifier,PBU,4,0.9375,0.625,large
exp6-PBU-feature-set2-NO-SMOTE,False,diff_precision,knn_classifier,PBU,4,0.0625,-0.375,medium
exp6-PBU-feature-set2-NO-SMOTE,False,diff_recall,knn_classifier,PBU,4,0.9375,0.75,large
exp6-PBU-feature-set2-NO-SMOTE,False,diff_auc,knn_classifier,PBU,4,0.0625,-0.375,medium
exp6-PBU-feature-set2-NO-SMOTE,False,diff_f1,logistic_regression,PBU,1,0.5,0.0,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_precision,logistic_regression,PBU,1,0.5,0.0,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_recall,logistic_regression,PBU,1,0.5,0.0,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_auc,logistic_regression,PBU,1,0.5,0.0,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_f1,randomForest_classifier,PBU,7,0.8640506445901759,0.3673469387755102,medium
exp6-PBU-feature-set2-NO-SMOTE,False,diff_precision,randomForest_classifier,PBU,7,0.39992305283123664,-0.04081632653061224,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_recall,randomForest_classifier,PBU,7,0.9620365185087212,0.673469387755102,large
exp6-PBU-feature-set2-NO-SMOTE,False,diff_auc,randomForest_classifier,PBU,7,0.39992305283123664,-0.04081632653061224,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_f1,mlp_classifier,PBU,6,0.5,0.1111111111111111,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_precision,mlp_classifier,PBU,6,0.9819841568908833,0.8888888888888888,large
exp6-PBU-feature-set2-NO-SMOTE,False,diff_recall,mlp_classifier,PBU,6,0.4167420021944796,0.027777777777777776,negligible
exp6-PBU-feature-set2-NO-SMOTE,False,diff_auc,mlp_classifier,PBU,6,0.9819841568908833,0.8888888888888888,large
exp6-PBU-feature-set2-NO-SMOTE,False,diff_f1,bayes_network,PBU,1,0.5,-1.0,large
exp6-PBU-feature-set2-NO-SMOTE,False,diff_precision,bayes_network,PBU,1,0.5,-1.0,large
exp6-PBU-feature-set2-NO-SMOTE,False,diff_recall,bayes_network,PBU,1,0.5,-1.0,large
exp6-PBU-feature-set2-NO-SMOTE,False,diff_auc,bayes_network,PBU,1,0.5,-1.0,large
exp7-PBU-feature-set2-NO-SMOTE,False,diff_f1,SVC,PBU,1,0.5,0.0,negligible
exp7-PBU-feature-set2-NO-SMOTE,False,diff_precision,SVC,PBU,1,0.5,0.0,negligible
