Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_4$Antlr4Master_removeFast.java,ds_6_snip_4$Antlr4Master_removeFast.java,29,23,6,0,8,786
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_3$SpringBatch_testOperationWithDirectCloseCall.java,ds_6_snip_3$SpringBatch_testOperationWithDirectCloseCall.java,31,25,6,0,0,1317
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_3$Pom_get.java,ds_6_snip_3$Pom_get.java,59,45,4,10,3,1775
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_3$Phoenix_configure.java,ds_6_snip_3$Phoenix_configure.java,44,41,3,0,6,2461
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_3$OpenCMSCore_execute.java,ds_6_snip_3$OpenCMSCore_execute.java,70,47,23,0,15,2515
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_3$MyExpenses_mergeUpdate.java,ds_6_snip_3$MyExpenses_mergeUpdate.java,48,46,2,0,27,1832
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_3$K9_open_withXoauth2Extension_shouldThrowOnMultipleFailure.java,ds_6_snip_3$K9_open_withXoauth2Extension_shouldThrowOnMultipleFailure.java,29,26,3,0,0,1721
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_3$HibernateORM_execute.java,ds_6_snip_3$HibernateORM_execute.java,60,53,7,0,11,3150
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_3$CarReport_handleFABClick.java,ds_6_snip_3$CarReport_handleFABClick.java,26,22,3,1,5,1294
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_3$Antlr4Master_hasSLLConflictTerminatingPrediction.java,ds_6_snip_3$Antlr4Master_hasSLLConflictTerminatingPrediction.java,32,18,14,0,6,1551
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_2$SpringBatch_testArtifactUniqueness.java,ds_6_snip_2$SpringBatch_testArtifactUniqueness.java,24,21,3,0,0,1583
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_2$Pom__getRuns.java,ds_6_snip_2$Pom__getRuns.java,36,30,6,0,10,1179
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_2$Phoenix_evaluate.java,ds_6_snip_2$Phoenix_evaluate.java,30,23,7,0,6,1268
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_2$OpenCMSCore_seekFile.java,ds_6_snip_2$OpenCMSCore_seekFile.java,27,21,6,0,0,856
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_2$MyExpenses_getContentProviderOperationsForCreate.java,ds_6_snip_2$MyExpenses_getContentProviderOperationsForCreate.java,65,62,3,0,39,2399
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_2$K9_getInstance.java,ds_6_snip_2$K9_getInstance.java,29,24,5,0,12,1321
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_2$HibernateORM_TimesTenDialect.java,ds_6_snip_2$HibernateORM_TimesTenDialect.java,34,31,3,0,0,2008
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_2$CarReport_onCreate.java,ds_6_snip_2$CarReport_onCreate.java,51,38,8,5,0,2238
