feature_set,feature,Target,Kendall's Tau,p-value
set4,IMSQ (avg),BD50,0.0015172895770618074,0.9731476107607991
set4,IMSQ (max),BD50,-0.003733369715447376,0.9393486351895011
set4,Readability,BD50,0.04860287017872601,0.2759118166192095
set4,ITID (avg),BD50,-0.0033281422515969074,0.9405264214316528
set4,NMI (avg),BD50,-0.014002184067529332,0.7536028342110698
set4,NMI (max),BD50,-0.015686595253362717,0.7533334862293083
set4,NM (avg),BD50,-0.009504694538344322,0.8312720782837197
set4,NM (max),BD50,0.0027332704517382834,0.9559663227621616
set4,TC (avg),BD50,0.1356993813147584,0.0026699551140529918
set4,TC (min),BD50,-0.0694745087609084,0.12569444880089672
set4,TC (max),BD50,0.13590520966484304,0.0032532953147601496
set4,#assignments (avg),BD50,0.020128489317092428,0.6524260001811846
set4,#blank lines (avg),BD50,-0.03173537921934417,0.48342818224951734
set4,#commas (avg),BD50,-0.09120466655779724,0.04138681982791781
set4,#comments (avg),BD50,0.03541372617363899,0.4298351485618297
set4,#comparisons (avg),BD50,0.04517404138834036,0.3283770055034959
set4,Identifiers length (avg),BD50,0.06875162326947486,0.12326048114436182
set4,#conditionals (avg),BD50,0.052672633283928405,0.2508890911646604
set4,Indentation length (avg),BD50,0.03288728854268674,0.4707225187618256
set4,#keywords (avg),BD50,0.057551365003966765,0.1988320409785368
set4,Line length (avg),BD50,-0.045604543825936004,0.30662262409190055
set4,#loops (avg),BD50,0.0071671372085563125,0.8861789685224508
set4,#identifiers (avg),BD50,-0.0890203094143353,0.0459772330964819
set4,#numbers (avg),BD50,-0.08431857834782742,0.06943535187702428
set4,#operators (avg),BD50,-0.10092559509065893,0.03020122923929932
set4,#parenthesis (avg),BD50,-0.009274378420298714,0.8359347301320919
set4,#periods (avg),BD50,-0.02889395534468014,0.5174364234328821
set4,#spaces (avg),BD50,0.019339204975495544,0.6646266232334618
set4,Identifiers length (max),BD50,0.07121886563704188,0.11844048798598342
set4,Indentation length (max),BD50,0.009227040155589191,0.8446692330392491
set4,#keywords (max),BD50,-0.06477782404267564,0.1936244242982691
set4,Line length (max),BD50,-0.060187124564577414,0.17997380344408076
set4,#identifiers (max),BD50,-0.039848175065416325,0.39365998895646703
set4,#numbers (max),BD50,-0.1162329631304023,0.016337848270315338
set4,#characters (max),BD50,0.0436195265387807,0.3284072261856772
set4,#words (max),BD50,-0.07300946440749397,0.10764007417708317
set4,Entropy,BD50,-0.021018267733057948,0.6375161041020891
set4,Volume,BD50,-0.03055294553493017,0.4933962697424964
set4,LOC,BD50,0.019053375888252216,0.6743487451948266
set4,#assignments (dft),BD50,0.0018259014896943105,0.967780965382095
set4,#commas (dft),BD50,0.015558503470069977,0.7303634693589199
set4,#comments (dft),BD50,0.03196299552366596,0.4797236685063413
set4,#comparisons (dft),BD50,0.030317451762272317,0.5137724713569638
set4,#conditionals (dft),BD50,0.06701873140048024,0.14700996100178332
set4,Indentation length (dft),BD50,-0.013560057221464288,0.7660315374266734
set4,#keywords (dft),BD50,-0.01521908300120438,0.7360356555340297
set4,Line length (dft),BD50,0.050980912397993086,0.25808116682510507
set4,#loops (dft),BD50,0.009306856377766556,0.8526281853389778
set4,#identifiers (dft),BD50,0.03057279463733573,0.4976039065538077
set4,#numbers (dft),BD50,-0.06336252429493654,0.17731336487628568
set4,#operators (dft),BD50,-0.06872803447225859,0.14202078438177132
set4,#parenthesis (dft),BD50,0.007015306950631323,0.876478411208651
set4,#periods (dft),BD50,-0.02869981275714463,0.5251875062954967
set4,#spaces (dft),BD50,0.022502126264690305,0.6195875962963534
set4,Comments (Visual X),BD50,0.03355813308736177,0.4699122854915576
set4,Comments (Visual Y),BD50,0.01474383339629641,0.7502670175027399
set4,Identifiers (Visual X),BD50,0.008065497889005117,0.8565187973304857
set4,Identifiers (Visual Y),BD50,0.021977732165950753,0.6222364411247066
set4,Keywords (Visual X),BD50,0.00815927330220684,0.8549319646351016
set4,Keywords (Visual Y),BD50,0.014901681973366335,0.7383367778995269
set4,Numbers (Visual X),BD50,-0.06230076845960378,0.20230563763048504
set4,Numbers (Visual Y),BD50,-0.054786741350307304,0.26218886291513943
set4,Strings (Visual X),BD50,0.014418674194362482,0.7545802885900474
set4,Strings (Visual Y),BD50,0.019329838330433547,0.6751557101382306
set4,Literals (Visual X),BD50,0.027609957893423413,0.6048468463934362
set4,Literals (Visual Y),BD50,0.023154172181516462,0.6643345737077322
