warning_feature,feature_set,#best_hyperparameters,use_smote,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_checker_framework,set4,c (9) cw (9),True,randomForest_classifier,PBU,accuracy,0.7058823529411765,0.7205882352941176,0.707516339869281,0.7156862745098039,0.014705882352941124,0.008169934640522958,0.0842601459854942,-0.3333333333333333,medium,9
warnings_infer,set4,c (2) cw (2),True,svc,PBU,f1_positive,0.8338983050847458,0.8338983050847458,0.8338983050847458,0.8338983050847458,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,f1_weighted,0.5963342530547892,0.5963342530547892,0.5963342530547892,0.5963342530547892,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,f1_negative,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,precision_positive,0.7151162790697675,0.7151162790697675,0.7151162790697675,0.7151162790697675,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,precision_weighted,0.5113912925905896,0.5113912925905896,0.5113912925905896,0.5113912925905896,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,precision_negative,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,recall_positive,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,recall_weighted,0.7151162790697675,0.7151162790697675,0.7151162790697675,0.7151162790697675,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,recall_negative,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,auc,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,auc_weighted,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (2) cw (2),True,svc,PBU,accuracy,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.0,0.0,0.5,0.0,negligible,2
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,f1_positive,0.6334841628959277,0.6320541760722347,0.6356369281264129,0.637417393399319,-0.001429986823692997,0.0017804652729060955,0.6875,0.25,small,4
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,f1_weighted,0.5502922055422806,0.5473410677725865,0.5470962757996335,0.5476654250434267,-0.0029511377696941343,0.0005691492437932544,0.6875,0.25,small,4
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,f1_negative,0.3414634146341463,0.3346938775510204,0.3248411689385339,0.3223696677419011,-0.006769537083125887,-0.0024715011966327527,0.6875,0.25,small,4
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,precision_positive,0.7142857142857143,0.7106598984771574,0.7156115050186742,0.7149637111838432,-0.0036258158085569203,-0.0006477938348310452,0.6875,0.25,small,4
