warning_feature,feature_set,#best_hyperparameters,use_smote,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_infer,set1,c (34) cw (34),True,PBU,f1_weighted,0.5865912516056389,0.5880671925302405,0.5286689182292694,0.5158608316611478,0.001475940924601682,-0.012808086568121602,0.6448343498050235,-0.007785467128027681,negligible,34
warnings_infer,set1,c (34) cw (34),True,PBU,f1_negative,0.1843984962406015,0.2620624408703879,0.22782362036391648,0.24533495872844605,0.07766394462978637,0.01751133836452956,0.07390029670204967,-0.05968858131487889,negligible,34
warnings_infer,set1,c (34) cw (34),True,PBU,precision_positive,0.7104033448106246,0.7125560743385517,0.7157535400897799,0.7201804064750104,0.002152729527927111,0.004426866385230488,0.02969727251911536,-0.16176470588235295,small,34
warnings_infer,set1,c (34) cw (34),True,PBU,precision_weighted,0.575105612959419,0.5880709864995162,0.5809548168635158,0.5902308201308549,0.012965373540097191,0.009276003267339128,0.06248508900171146,-0.1773356401384083,small,34
warnings_infer,set1,c (34) cw (34),True,PBU,precision_negative,0.2589399744572158,0.2785061969993477,0.24258251162207725,0.26403083808328104,0.019566222542131917,0.021448326461203787,0.026284123305231333,-0.2378892733564014,small,34
warnings_infer,set1,c (34) cw (34),True,PBU,recall_positive,0.8170731707317074,0.7520325203252032,0.6704925872788139,0.6441893830703012,-0.0650406504065042,-0.02630320420851273,0.8130384265734605,-0.03200692041522491,negligible,34
warnings_infer,set1,c (34) cw (34),True,PBU,recall_weighted,0.6380813953488372,0.623546511627907,0.5685704514363886,0.5613885088919289,-0.014534883720930258,-0.007181942544459696,0.4591276805839877,-0.0657439446366782,negligible,34
warnings_infer,set1,c (34) cw (34),True,PBU,recall_negative,0.14285714285714285,0.2448979591836734,0.3127250900360144,0.35354141656662663,0.10204081632653056,0.040816326530612235,0.008140755358076936,-0.045847750865051905,negligible,34
warnings_infer,set1,c (34) cw (34),True,PBU,auc,0.48945488721804514,0.49465520945220187,0.4910833701901814,0.4980507676754912,0.005200322234156729,0.006967397485309834,0.010799358657095581,-0.23269896193771628,small,34
warnings_infer,set1,c (34) cw (34),True,PBU,auc_weighted,0.48945488721804514,0.49465520945220187,0.4910833701901814,0.4980507676754912,0.005200322234156729,0.006967397485309834,0.010799358657095581,-0.23269896193771628,small,34
warnings_infer,set1,c (34) cw (34),True,PBU,accuracy,0.6838235294117647,0.6764705882352942,0.5951557093425606,0.5981833910034602,-0.007352941176470562,0.003027681660899617,0.4692277363011874,0.01730103806228374,negligible,34
warnings_openjml,set1,c (37) cw (37),True,PBU,f1_positive,0.7574626865671642,0.7128712871287128,0.6356431555816368,0.6002578402314591,-0.04459139943845136,-0.03538531535017764,0.9660327143410722,0.020452885317750184,negligible,37
warnings_openjml,set1,c (37) cw (37),True,PBU,f1_weighted,0.5866876038205979,0.5896982387359292,0.5219772320051509,0.5037794315917316,0.0030106349153312673,-0.01819780041341934,0.7791722254706086,0.005843681519357195,negligible,37
warnings_openjml,set1,c (37) cw (37),True,PBU,f1_negative,0.1973684210526316,0.2515723270440251,0.23665256670091106,0.2615989364348646,0.05420390599139349,0.024946369733953533,0.008226257777012207,-0.09495982468955443,negligible,37
warnings_openjml,set1,c (37) cw (37),True,PBU,precision_positive,0.7106109324758842,0.7133956386292835,0.719035374170899,0.7286489822272182,0.002784706153399208,0.009613608056319167,0.024926848860735408,-0.19065010956902848,small,37
warnings_openjml,set1,c (37) cw (37),True,PBU,precision_weighted,0.5830579325601754,0.5895794350886572,0.5840937183260262,0.5962845605796195,0.006521502528481826,0.012190842253593348,0.020842635743337244,-0.18115412710007306,small,37
warnings_openjml,set1,c (37) cw (37),True,PBU,precision_negative,0.2608695652173913,0.2797427652733119,0.24536262304195805,0.264022849096872,0.01887320005592058,0.018660226054913964,0.04273107626513037,-0.2322863403944485,small,37
warnings_openjml,set1,c (37) cw (37),True,PBU,recall_positive,0.8089430894308943,0.7317073170731707,0.6544715447154471,0.6134915403208085,-0.07723577235772361,-0.04098000439463856,0.969321384431799,0.039444850255661065,negligible,37
warnings_openjml,set1,c (37) cw (37),True,PBU,recall_weighted,0.6308139534883721,0.6017441860465116,0.5621464487743557,0.5501257071024512,-0.029069767441860517,-0.012020741671904478,0.6907516484008593,-0.021183345507669833,negligible,37
warnings_openjml,set1,c (37) cw (37),True,PBU,recall_negative,0.1530612244897959,0.2040816326530612,0.33039161610590184,0.3910645339216767,0.05102040816326531,0.060672917815774885,0.0007457277214301634,-0.10299488677867057,negligible,37
warnings_openjml,set1,c (37) cw (37),True,PBU,auc,0.4915875402792696,0.4965059076262084,0.4917204110662757,0.501522106424362,0.00491836734693879,0.009801695358086338,0.004731732325978801,-0.2468955441928415,small,37
warnings_openjml,set1,c (37) cw (37),True,PBU,auc_weighted,0.4915875402792696,0.4965059076262084,0.4917204110662757,0.501522106424362,0.00491836734693879,0.009801695358086338,0.004731732325978801,-0.2468955441928415,small,37
warnings_openjml,set1,c (37) cw (37),True,PBU,accuracy,0.6911764705882353,0.7058823529411765,0.5961844197138315,0.5854531001589827,0.014705882352941235,-0.01073131955484885,0.41005000644420836,-0.009495982468955442,negligible,37
warnings_typestate_checker,set1,c (35) cw (35),True,PBU,f1_positive,0.7580952380952379,0.7228915662650603,0.6589747263351244,0.5795865672798809,-0.035203671830177585,-0.07938815905524355,0.9999951636709739,0.24979591836734694,small,35
warnings_typestate_checker,set1,c (35) cw (35),True,PBU,f1_weighted,0.591941590048675,0.5787228057014253,0.5366963441689504,0.4971330686780446,-0.013218784347249657,-0.039563275490905825,0.9862543916970026,0.08,negligible,35
warnings_typestate_checker,set1,c (35) cw (35),True,PBU,f1_negative,0.1973684210526316,0.2711864406779661,0.22975265015998372,0.29015795994282334,0.07381801962533449,0.06040530978283962,5.905877333134413e-05,-0.26285714285714284,small,35
warnings_typestate_checker,set1,c (35) cw (35),True,PBU,precision_positive,0.7111801242236024,0.7153558052434457,0.7201584057136431,0.7207350775173427,0.004175681019843225,0.0005766718036995799,0.31075813292409293,-0.06448979591836734,negligible,35
