warning_feature,feature_set,#best_hyperparameters,use_smote,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_typestate_checker,set2,c (1) cw (1),True,bayes_network,ABU50,precision_negative,0.6078431372549019,0.5683453237410072,0.6078431372549019,0.5683453237410072,-0.0394978135138947,-0.0394978135138947,1.0,1.0,large,1
warnings_typestate_checker,set2,c (1) cw (1),True,bayes_network,ABU50,recall_positive,0.7727272727272727,0.6590909090909091,0.7727272727272727,0.6590909090909091,-0.11363636363636365,-0.11363636363636365,1.0,1.0,large,1
warnings_typestate_checker,set2,c (1) cw (1),True,bayes_network,ABU50,recall_weighted,0.577259475218659,0.5685131195335277,0.577259475218659,0.5685131195335277,-0.008746355685131268,-0.008746355685131268,1.0,1.0,large,1
warnings_typestate_checker,set2,c (1) cw (1),True,bayes_network,ABU50,recall_negative,0.3712574850299401,0.4730538922155688,0.3712574850299401,0.4730538922155688,0.10179640718562871,0.10179640718562871,0.5,-1.0,large,1
warnings_typestate_checker,set2,c (1) cw (1),True,bayes_network,ABU50,auc,0.5715041167982344,0.5653318903318904,0.5715041167982344,0.5653318903318904,-0.006172226466344077,-0.006172226466344077,1.0,1.0,large,1
warnings_typestate_checker,set2,c (1) cw (1),True,bayes_network,ABU50,auc_weighted,0.5715041167982344,0.5653318903318904,0.5715041167982344,0.5653318903318904,-0.006172226466344077,-0.006172226466344077,1.0,1.0,large,1
warnings_typestate_checker,set2,c (1) cw (1),True,bayes_network,ABU50,accuracy,0.5441176470588235,0.5588235294117647,0.5441176470588235,0.5588235294117647,0.014705882352941235,0.014705882352941235,0.5,-1.0,large,1
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,f1_positive,0.4850299401197604,0.5506493506493507,0.46407054164494443,0.4330971272607506,0.0656194105295903,-0.03097341438419382,0.8984375,0.18518518518518517,small,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,f1_weighted,0.48816298856501,0.4824101068999029,0.47373340195467833,0.46689318593021856,-0.0057528816651071235,-0.006840216024459778,0.71484375,0.13580246913580246,negligible,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,f1_negative,0.5113636363636365,0.4290657439446367,0.483917015215236,0.5025105890788794,-0.08229789241899976,0.018593573863643353,0.455078125,-0.06172839506172839,negligible,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,precision_positive,0.5285714285714286,0.5140562248995983,0.5615437182149873,0.5252484043416787,-0.014515203671830235,-0.03629531387330853,0.935546875,0.48148148148148145,large,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,precision_weighted,0.5235999353698586,0.502032944133086,0.533418252358404,0.5082245190616129,-0.021566991236772637,-0.025193733296791088,0.935546875,0.5061728395061729,large,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,precision_negative,0.50390625,0.4884488448844885,0.5037770428329031,0.4902831788862143,-0.015457405115511524,-0.013493863946688833,0.962890625,0.5802469135802469,large,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,recall_positive,0.4602272727272727,0.6022727272727273,0.4835858585858585,0.43939393939393934,0.14204545454545459,-0.04419191919191917,0.8203125,0.1111111111111111,negligible,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,recall_weighted,0.5189504373177842,0.5043731778425656,0.5163589245221898,0.5034013605442177,-0.014577259475218596,-0.012957563977972097,0.97265625,0.5925925925925926,large,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,recall_negative,0.5389221556886228,0.3832335329341317,0.5508982035928144,0.5708582834331337,-0.15568862275449108,0.019960079840319334,0.326171875,-0.06172839506172839,negligible,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,auc,0.5168589253883371,0.5008288770053475,0.5166386554621849,0.504831083948731,-0.016030048382989603,-0.011807571513453907,0.962890625,0.6049382716049383,large,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,auc_weighted,0.5168589253883371,0.5008288770053475,0.5166386554621849,0.504831083948731,-0.016030048382989603,-0.011807571513453907,0.962890625,0.6049382716049383,large,9
warnings_typestate_checker,set2,c (9) cw (9),True,randomForest_classifier,ABU50,accuracy,0.4852941176470588,0.4705882352941176,0.48529411764705876,0.4836601307189542,-0.014705882352941235,-0.0016339869281045694,0.673828125,0.18518518518518517,small,9
warning_sum,set2,c (4) cw (4),True,svc,ABU50,f1_positive,0.5654826506248256,0.4933333333333333,0.5157324968370764,0.4926595240513185,-0.07214931729149232,-0.023072972785757928,0.4375,-0.125,negligible,4
warning_sum,set2,c (4) cw (4),True,svc,ABU50,f1_weighted,0.4415073918461303,0.42180644937388584,0.4530400705104948,0.42315110663748334,-0.019700942472244465,-0.02988896387301143,0.875,0.125,negligible,4
warning_sum,set2,c (4) cw (4),True,svc,ABU50,f1_negative,0.42657615962151607,0.35397234820238865,0.3869690104297858,0.3498967266085313,-0.07260381141912742,-0.03707228382125449,0.8125,0.0,negligible,4
